sens,dx_0,dx_1,dx_2,dx_3,dx_4,dx_5,x_0,x_1,x_2,x_3,x_4,x_5,y_bar,y
1,0.10076734726005651,0.09435087082378153,-0.025413293285942988,-0.004518324404154651,0.12540012741708506,-0.2242337821546947,4,5,4,5,5,5,0.669032240740697,1.0
1,0.4527849812388367,0.055627483599142276,0.0036087908696197006,-0.1296222567264199,0.03175004281706095,2.4950553320128765,5,5,4,4,5,7,0.08812537248785089,1.0
0,-1.442835743878319,-0.7315129895992066,-0.3706708925904806,-0.7275024025428206,-0.48889320134973113,-3.371749729307495,2,1,2,0,1,1,0.13985376116575113,0.0
1,0.5446911246041146,0.028067527514752055,0.3677669961283261,0.3216277011038553,0.2370308323207645,1.231726745936447,5,4,6,6,6,6,0.611352876462598,1.0
1,-0.4994026347193675,1.2784406708046083,0.025856248927904203,0.029352662087590853,-0.03371218419188347,-0.13177533526218288,3,8,5,4,5,4,0.9742422528834994,1.0
1,1.5630037281382418,0.38487666607226717,0.13217067496852358,0.1305167871370747,-0.10451951498960006,0.9480111948717386,6,5,5,5,4,6,0.06066259517294732,1.0
1,1.6078136871485276,0.32569091313773973,-0.23825096985758504,0.05242976362533212,0.10949285968324834,0.9800364731362262,6,5,4,5,5,6,0.14617291349669786,0.0
1,0.08967411844762396,0.2963844661248076,0.17704704802622556,-0.14810208500144992,0.27146844077841237,-0.8881543637353737,4,5,5,4,6,4,0.9487674983154905,1.0
1,0.58684446171547,0.8288623935087611,0.20363682892773527,-0.06718979034533566,-0.07786735888533075,1.2266089760532952,5,7,5,4,4,6,0.1862979393479731,0.0
1,0.1859717159124865,-0.3960815917955209,-0.3920025453735923,0.12187973213272021,-0.031124664403975235,1.6988514058566389,4,3,3,6,4,6,0.09023077823177766,0.0
0,-0.4819093275442631,-0.19823484456805657,-0.12908680325245384,-0.1322334112382563,0.14757317713953905,0.058946997998585715,3,4,3,4,5,5,0.6327415390793134,1.0
1,1.848440796754065,-0.7247775873373372,0.2846252220748696,0.09608335228726267,0.4982965897290189,0.991226700524989,6,2,5,6,8,7,0.5189540680579946,1.0
