x1,x2,s,y1,y2,y3
0.5570167589795236,6.343523250055642,1,1,1,1
-0.2234181268313106,-0.7085867617313877,0,0,0,0
1.0491889534077379,-6.819567445336252,1,1,0,0
0.35131017202163006,-2.9566792356630236,1,1,0,0
1.2033285437334407,1.2946009372310212,1,1,1,1
-0.23864313520161468,-4.988633591083291,0,1,0,0
1.656235183570498,-1.4871111342273773,1,1,0,0
0.047096150155073284,-0.8662646128578732,0,1,0,1
-0.030819026086107378,0.5071990152305559,0,0,0,1
0.14239529956718158,-10.755092452688801,0,0,0,0
-0.17489109005576844,-7.591072362016744,0,0,0,0
0.6000431884296676,0.833472027285195,1,1,1,1
0.14875717697747295,-7.346953368866892,0,0,0,0
1.1007399733522165,-4.3154361439617865,1,1,0,0
0.28422945946213846,-1.9743464942003692,0,1,0,0
0.005749449935031187,-2.577559113804961,0,1,0,0
-0.8651380307750429,-2.5274787893276676,0,1,0,0
0.6489126334867927,3.2989447056601513,0,1,1,1
0.7446779810372401,-1.319336576244676,0,1,1,0
1.0669341236022687,2.4604855355167747,0,1,1,1
0.4614504652980026,-0.7661989856736948,1,1,0,1
-0.18761120038033635,0.4477492197597306,0,0,0,1
1.303555835958023,-1.9945985035681228,1,1,0,0
-0.5240852034127366,0.5198799258513613,0,0,0,1
1.5807669017795587,-7.662231887482775,1,0,0,0
0.1062935232187683,1.0520961339818196,0,1,0,1
1.3225276367299386,-2.6095655669724396,1,1,1,0
1.4328264614079267,-4.344162387164445,1,1,0,0
0.9475101494905233,1.4086994800817458,1,1,1,1
1.0096396922565387,0.8888500176137,1,1,1,1
0.2790409403093329,6.338248020823071,0,1,1,1
-0.26443492677805763,-3.1609255832866285,0,1,0,0
0.5200431225268516,-3.2168371865859093,0,1,0,0
0.9698562331804405,1.9520686126043656,1,1,1,1
1.9109575489302029,1.7389629232577897,1,1,1,1
0.1695296279712152,6.110472793479325,0,1,1,1
0.5298648820213976,-3.4757068283436827,1,1,0,0
1.4122786097821183,6.084728914532576,1,1,1,1
