dataset,transform,model,split_id,Accuracy,Accuracy_race_White_0,Accuracy_race_White_0-race_White_1,Accuracy_race_White_0/race_White_1,Accuracy_race_White_1,Balanced Accuracy,CV absolute,F1,P(s|y)=0.5,TNR,TNR_race_White_0,TNR_race_White_0-race_White_1,TNR_race_White_0/race_White_1,TNR_race_White_1,TPR,TPR_race_White_0,TPR_race_White_0-race_White_1,TPR_race_White_0/race_White_1,TPR_race_White_1,percent_dropped,prob_pos,prob_pos_race_White_0,prob_pos_race_White_0-race_White_1,prob_pos_race_White_0/race_White_1,prob_pos_race_White_1,seed
Adult Race-Binary,Calders,"Logistic Regression, C=1.0",0,0.8801424050632911,0.8892405063291139,0.01819620253164556,0.9795373665480428,0.8710443037974683,0.7704605263157895,0.965981012658228,0.6169405815423514,1.0,0.9309210526315792,0.9464285714285714,0.031015037593984936,0.9672293942403178,0.9154135338345863,0.61,0.585,0.05000000000000005,0.9212598425196852,0.635,0.7204776647501105,0.15466772151898733,0.13765822784810128,0.03401898734177214,0.8018433179723503,0.17167721518987342,0.0
Adult Race-Binary,Calders,SVM,0,0.8991297468354429,0.9026898734177216,0.007120253164557,0.9921121822962312,0.8955696202531646,0.7898590225563911,0.9675632911392404,0.6640316205533596,1.0,0.949718045112782,0.9614661654135338,0.023496240601503682,0.975562072336266,0.93796992481203,0.63,0.59,0.08000000000000007,0.8805970149253729,0.67,0.7204776647501105,0.14200949367088608,0.12579113924050633,0.0324367088607595,0.7949999999999999,0.15822784810126586,0.0
Adult Race-Binary,Calders,Majority,0,0.8417721518987342,0.8417721518987342,0.0,1.0,0.8417721518987342,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.7204776647501105,0.0,0.0,0.0,,0.0,0.0
Adult Race-Binary,Calders,"Logistic Regression, C=1.0",1,0.8781645569620253,0.8892405063291139,0.022151898734177226,0.9750889679715302,0.8670886075949367,0.7784210526315789,0.985759493670886,0.6216216216216217,1.0,0.924342105263158,0.9351503759398496,0.021616541353383426,0.9768844221105528,0.9135338345864662,0.6325,0.645,0.025000000000000026,0.9612403100775192,0.62,0.7204776647501105,0.16376582278481014,0.15664556962025314,0.014240506329113915,0.9166666666666669,0.17088607594936708,2410.0
Adult Race-Binary,Calders,SVM,1,0.8951740506329114,0.9050632911392406,0.019778481012658226,0.9781468531468532,0.8852848101265823,0.780404135338346,0.9881329113924052,0.6490066225165563,1.0,0.9483082706766918,0.9577067669172932,0.01879699248120304,0.9803729146221786,0.9389097744360902,0.6125,0.625,0.025000000000000026,0.96,0.6,0.7204776647501105,0.14042721518987342,0.13449367088607594,0.011867088607594944,0.9189189189189187,0.1463607594936709,2410.0
Adult Race-Binary,Calders,Majority,1,0.8417721518987342,0.8417721518987342,0.0,1.0,0.8417721518987342,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.7204776647501105,0.0,0.0,0.0,,0.0,2410.0
Adult Race-Binary,Calders,"Logistic Regression, C=1.0",2,0.8872626582278481,0.8931962025316456,0.011867088607594887,0.9867139061116031,0.8813291139240507,0.7746898496240602,0.997626582278481,0.6313065976714102,1.0,0.9393796992481204,0.943609022556391,0.008458646616541388,0.9910358565737052,0.9351503759398496,0.61,0.625,0.030000000000000027,0.9520000000000001,0.595,0.7204776647501105,0.1475474683544304,0.1463607594936709,0.002373417721518972,0.9840425531914896,0.14873417721518986,4820.0
Adult Race-Binary,Calders,SVM,2,0.9015031645569621,0.9050632911392406,0.007120253164557,0.9921328671328672,0.8979430379746836,0.7821334586466165,0.9849683544303798,0.6612244897959184,1.0,0.9567669172932328,0.9633458646616542,0.013157894736842146,0.986341463414634,0.950187969924812,0.6075,0.595,0.025000000000000026,0.9596774193548386,0.62,0.7204776647501105,0.13251582278481014,0.125,0.01503164556962025,0.8926553672316384,0.14003164556962025,4820.0
Adult Race-Binary,Calders,Majority,2,0.8417721518987342,0.8417721518987342,0.0,1.0,0.8417721518987342,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.7204776647501105,0.0,0.0,0.0,,0.0,4820.0
Adult Race-Binary,Calders,"Logistic Regression, C=1.0",3,0.8631329113924051,0.8647151898734177,0.003164556962025223,0.9963403476669718,0.8615506329113924,0.7532518796992481,0.9920886075949368,0.5780487804878048,1.0,0.9140037593984962,0.9172932330827068,0.006578947368421018,0.9928278688524592,0.9107142857142856,0.5925,0.585,0.015000000000000013,0.975,0.6,0.7204776647501105,0.1661392405063291,0.16218354430379747,0.007911392405063278,0.9534883720930232,0.17009493670886075,7230.0
Adult Race-Binary,Calders,SVM,3,0.8844936708860759,0.8852848101265823,0.0015822784810126669,0.998212689901698,0.8837025316455697,0.77203007518797,0.9778481012658228,0.6246786632390745,1.0,0.9365601503759399,0.943609022556391,0.014097744360902276,0.9850597609561752,0.9295112781954888,0.6075,0.575,0.06500000000000006,0.8984374999999999,0.64,0.7204776647501105,0.1495253164556962,0.13844936708860758,0.022151898734177226,0.8620689655172413,0.1606012658227848,7230.0
Adult Race-Binary,Calders,Majority,3,0.8417721518987342,0.8417721518987342,0.0,1.0,0.8417721518987342,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.7204776647501105,0.0,0.0,0.0,,0.0,7230.0
Adult Race-Binary,Calders,"Logistic Regression, C=1.0",4,0.8682753164556962,0.8765822784810127,0.01661392405063289,0.9810469314079424,0.8599683544303798,0.7593515037593985,0.9833860759493672,0.5904059040590406,1.0,0.9187030075187972,0.9285714285714286,0.019736842105263164,0.9787449392712548,0.9088345864661654,0.6,0.6,0.0,1.0,0.6,0.7204776647501105,0.16337025316455694,0.1550632911392405,0.016613924050632917,0.9032258064516128,0.17167721518987342,9640.0
Adult Race-Binary,Calders,SVM,4,0.8888449367088608,0.8924050632911392,0.007120253164556889,0.9920212765957448,0.8852848101265823,0.7715695488721804,0.9770569620253164,0.6307490144546649,1.0,0.9431390977443608,0.9520676691729324,0.017857142857142794,0.9812438302073052,0.9342105263157896,0.6,0.575,0.05000000000000005,0.92,0.625,0.7204776647501105,0.14280063291139242,0.13132911392405064,0.022943037974683528,0.8512820512820514,0.15427215189873414,9640.0
Adult Race-Binary,Calders,Majority,4,0.8417721518987342,0.8417721518987342,0.0,1.0,0.8417721518987342,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.7204776647501105,0.0,0.0,0.0,,0.0,9640.0
Adult Race-Binary,Calders,"Logistic Regression, C=1.0",5,0.8852848101265823,0.8860759493670886,0.0015822784810125554,0.9982142857142858,0.8844936708860759,0.7856954887218045,0.9984177215189872,0.6384039900249376,1.0,0.931390977443609,0.931390977443609,0.0,1.0,0.931390977443609,0.64,0.645,0.010000000000000007,0.9844961240310076,0.635,0.7204776647501105,0.15901898734177214,0.15981012658227847,0.0015822784810126393,0.9900990099009902,0.15822784810126586,12050.0
Adult Race-Binary,Calders,SVM,5,0.8971518987341772,0.8987341772151899,0.003164556962025333,0.9964788732394366,0.8955696202531646,0.7856390977443609,0.9984177215189872,0.6569920844327177,1.0,0.9487781954887218,0.9492481203007521,0.0009398496240601297,0.9990099009900992,0.9483082706766918,0.6225,0.63,0.015000000000000013,0.9761904761904762,0.615,0.7204776647501105,0.14161392405063292,0.14240506329113925,0.0015822784810126669,0.9888888888888888,0.14082278481012658,12050.0
Adult Race-Binary,Calders,Majority,5,0.8417721518987342,0.8417721518987342,0.0,1.0,0.8417721518987342,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.7204776647501105,0.0,0.0,0.0,,0.0,12050.0
Adult Race-Binary,Calders,"Logistic Regression, C=1.0",6,0.8817246835443038,0.8884493670886076,0.013449367088607556,0.9848619768477294,0.875,0.7703853383458648,0.9723101265822784,0.6191082802547772,1.0,0.9332706766917294,0.9454887218045112,0.02443609022556392,0.9741550695825052,0.9210526315789472,0.6075,0.585,0.04500000000000004,0.9285714285714284,0.63,0.7204776647501105,0.15229430379746836,0.13844936708860758,0.027689873417721528,0.8333333333333333,0.1661392405063291,14460.0
Adult Race-Binary,Calders,SVM,6,0.9003164556962026,0.9042721518987342,0.007911392405063333,0.9912510936132984,0.8963607594936709,0.7793984962406015,0.9873417721518988,0.6566757493188011,1.0,0.9562969924812028,0.9624060150375942,0.012218045112781906,0.9873046875,0.950187969924812,0.6025,0.595,0.015000000000000013,0.9754098360655736,0.61,0.7204776647501105,0.13212025316455694,0.12579113924050633,0.01265822784810125,0.9085714285714288,0.13844936708860758,14460.0
Adult Race-Binary,Calders,Majority,6,0.8417721518987342,0.8417721518987342,0.0,1.0,0.8417721518987342,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.7204776647501105,0.0,0.0,0.0,,0.0,14460.0
Adult Race-Binary,Calders,"Logistic Regression, C=1.0",7,0.8868670886075949,0.8939873417721519,0.014240506329113887,0.984070796460177,0.8797468354430379,0.7886654135338346,0.985759493670886,0.6433915211970076,1.0,0.9323308270676692,0.9407894736842104,0.016917293233082664,0.982017982017982,0.9238721804511278,0.645,0.645,0.0,1.0,0.645,0.7204776647501105,0.15901898734177214,0.1518987341772152,0.014240506329113915,0.9142857142857144,0.1661392405063291,16870.0
Adult Race-Binary,Calders,SVM,7,0.8991297468354429,0.9066455696202532,0.015031645569620222,0.9834205933682374,0.8916139240506329,0.7908740601503759,0.9833860759493672,0.6649145860709592,1.0,0.9492481203007521,0.9586466165413534,0.01879699248120304,0.9803921568627452,0.9398496240601504,0.6325,0.63,0.0050000000000000044,0.9921259842519684,0.635,0.7204776647501105,0.14280063291139242,0.13449367088607594,0.016613924050632917,0.8900523560209423,0.15110759493670886,16870.0
Adult Race-Binary,Calders,Majority,7,0.8417721518987342,0.8417721518987342,0.0,1.0,0.8417721518987342,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.7204776647501105,0.0,0.0,0.0,,0.0,16870.0
Adult Race-Binary,Calders,"Logistic Regression, C=1.0",8,0.8801424050632911,0.875,0.010284810126582332,0.9883824843610366,0.8852848101265823,0.7775657894736843,0.997626582278481,0.6236024844720497,1.0,0.9276315789473684,0.9238721804511278,0.007518796992481147,0.9919273461150354,0.931390977443609,0.6275,0.615,0.025000000000000026,0.9609375,0.64,0.7204776647501105,0.16020569620253164,0.16139240506329114,0.002373417721519,0.9852941176470588,0.15901898734177214,19280.0
Adult Race-Binary,Calders,SVM,8,0.9007120253164557,0.8979430379746836,0.0055379746835443324,0.9938704028021016,0.903481012658228,0.7968890977443609,0.9865506329113924,0.6727509778357237,1.0,0.9487781954887218,0.9511278195488722,0.004699248120300759,0.9950592885375494,0.9464285714285714,0.645,0.615,0.06000000000000005,0.9111111111111109,0.675,0.7204776647501105,0.1451740506329114,0.13844936708860758,0.013449367088607613,0.9114583333333331,0.1518987341772152,19280.0
